分區別,醫事機構代碼,醫事機構名稱,機構地址,電話區域號碼 ,電話號碼,特約類別,型態別,醫事機構種類,終止合約或歇業日期,開業狀況
"1","1531021165","三重中興醫院","新北市三重區中興北街21號","02","29959680","3","02","A","","0"
"1","1531021174","祐民醫院","新北市三重區重新路2段2、6號，地下1層至地上9層","02","29783456","3","02","A","","0"
"1","1531031269","瑞祥婦幼醫院","","","","3","02","A","20180802","2"
"1","1531031278","永和復康醫院","新北市永和區中和路575、577、579號1至4樓","02","29240925","3","02","A","","0"
"1","1531040259","中祥醫院","新北市中和區中山路2段138號2－4樓140號及142號","02","22405055","3","02","A","","0"
"1","1531041363","蕙生醫院","新北市中和區中山路2段551號地下1樓至地上1至6樓","02","22236339","3","02","A","","0"
"1","1531041390","怡和醫院","新北市中和區連城路49號1至4樓","02","22450009","3","02","A","","0"
"1","1531041407","祥顥醫院","新北市中和區景平路412、412之1號1至5樓","02","29468795","3","02","A","","0"
"1","1531050077","同仁醫院","新北市新店區民權路89號","02","29170201","3","02","A","","0"
"1","1531050086","宏慈療養院","新北市新店區安泰路157號1、2樓","02","22151177","3","04","A","","0"
"1","1531051127","新北仁康醫院","","","","3","02","A","20180806","2"
"1","1531051163","豐榮醫院","新北市新店區安德街26巷3號B棟","02","22122111","3","02","A","","0"
"1","1531051172","新北仁康醫院","新北市新店區安康路2段323號地上1至2樓B棟","02","22152345","3","02","A","","0"
"1","1531060046","大順醫院","新北市新莊區中正路215號1－4樓","02","29911726","3","06","A","","0"
"1","1531060073","新莊英仁醫院","新北市新莊區大觀街46－2號","02","29916363","3","06","A","","0"
"1","1531060180","新泰綜合醫院","新北市新莊區新樹路176號","02","29962121","3","01","A","","0"
"1","1531061230","益民醫院","新北市新莊區中港路127號1－4樓","02","89911050","3","02","A","","0"
"1","1531071030","仁愛醫院","新北市樹林區文化街9號","02","26834567","3","01","A","","0"
"1","1531080226","名恩療養院","新北市鶯歌區鶯桃路2段62號及64號1至4樓","02","26701092","3","04","A","","0"
"1","1531091130","清福醫院","新北市三峽區介壽路1段286號2樓","02","26739288","3","02","A","","0"
"1","1531100027","公祥醫院","新北市淡水區英專路21巷25、27號、中山路38、40號","02","26217638","3","02","A","","0"
"1","1531100036","長青醫院","","","","3","04","A","20190430","2"
"1","1531101113","泓安醫院","新北市淡水區下圭柔山91巷2號1－4樓地下1樓","02","26232681","3","04","A","","0"
"1","1531120038","瑞芳礦工醫院","新北市瑞芳區一坑路71之2號","02","24974101","3","02","A","","0"
"1","1531130052","廣川醫院","新北市土城區裕民路274、276、278號","02","22617000","3","02","A","","0"
"1","1531130105","仁安醫院","新北市土城區中央路1段62．64號","02","22627088","3","02","A","","0"
"1","1531131139","元復醫院","新北市土城區中央路2段318－324號1－4樓","02","22661886","3","02","A","","0"
"1","1531131157","恩樺醫院","新北市土城區中央路1段7－18號地下1樓、1樓、2樓","02","22639955","3","02","A","","0"
"1","1531140049","全民醫院","","","","3","02","A","20191101","2"
"1","1531140058","全民醫院","新北市蘆洲區三民路5、7、9號（1）樓","02","22821575","3","02","A","","0"
"1","1531210019","台安醫院","新北市三芝區楓子林路42－5號","02","26371600","3","04","A","","0"
"1","1534050024","杏和醫院","","","","3","02","A","20200731","2"
"1","2101010013","臺北市立聯合醫院附設松山門診部","臺北市松山區八德路4段694號1、2樓","02","27653147","4","08","A","","0"
"1","2101020019","臺北市立聯合醫院附設大安門診部","臺北市大安區辛亥路3段15號","02","27390997","4","08","A","","0"
"1","2101090011","台北市立聯合醫院附設大同門診部","臺北市大同區昌吉街52號1至2樓","02","25948971","4","08","A","","0"
"1","2101100227","臺北市立聯合醫院附設中山門診部","臺北市中山區松江路367號1樓","02","25013363","4","08","A","","0"
"1","2101110027","臺北市立聯合醫院附設內湖門診部","臺北市內湖區民權東路6段99號","02","27908387","4","08","A","","0"
"1","2101120014","臺北市立聯合醫院附設南港門診部","臺北市南港區南港路1段360號1樓","02","27868756","4","08","A","","0"
"1","2101121020","臺北市立聯合醫院附設南軟門診部","","","","4","08","A","20180321","2"
"1","2101121039","臺北市立聯合醫院附設南軟中醫門診部","","","","4","24","A","20180321","2"
"1","2101150012","台北市立聯合醫院附設士林門診部","臺北市士林區中正路439號1樓","02","28836268","4","08","A","","0"
"1","2101151037","臺北市立聯合醫院附設士林中醫門診部","臺北市士林區中正路439號","02","28836268","4","24","A","","0"
"1","2101161033","臺北市立聯合醫院附設北投門診部","臺北市北投區新市街30號5樓","02","28912670","4","08","A","","0"
"1","2101170050","台北市立聯合醫院附設信義門診部","臺北市信義區信義路5段15號","02","87804152","4","08","A","","0"
"1","2101180038","臺北市立聯合醫院附設中正門診部","臺北市中正區牯嶺街24號","02","23210168","4","08","A","","0"
"1","2101181044","臺北市立聯合醫院附設精神科門診","","","","4","08","A","20180321","2"
"1","2101191068","臺北市立聯合醫院附設萬華門診部","臺北市萬華區東園街152號","02","23395384","4","08","A","","0"
"1","2101191077","臺北市立聯合醫院附設萬華中醫門診部","臺北市萬華區東園街152號","02","23395383","4","24","A","","0"
"1","2101200017","台北市立聯合醫院附設政大門診部","臺北市文山區指南路2段117號","02","82377441","4","08","A","","0"
"1","2211070014","基隆市立慢性病防治所","基隆市信義區信二路266號","02","24230181","4","08","A","","0"
"1","2311010010","基隆市中正區衛生所","基隆市中正區中正路236號2樓","02","24621632","4","08","A","","0"
"1","2311020016","基隆市七堵區衛生所","基隆市七堵區光明路21號1樓之1、2樓","02","24562008","4","08","A","","0"
"1","2311030012","基隆市暖暖區衛生所","基隆市暖暖區暖暖街281巷98號","02","24572630","4","08","A","","0"
"1","2311040018","基隆市仁愛區衛生所","基隆市仁愛區光一路26號","02","24311592","4","08","A","","0"
"1","2311050014","基隆市中山區衛生所","基隆市中山區中山二路15號","02","24229860","4","08","A","","0"
"1","2311060010","基隆市安樂區衛生所","基隆市安樂區安樂路2段164號1樓前棟","02","24318061","4","08","A","","0"
"1","2311070016","基隆市信義區衛生所","基隆市信義區信一路69號","02","24221633","4","08","A","","0"
"1","2331010016","新北市板橋區衛生所","新北市板橋區英士路192號","02","22586606","4","08","A","","0"
"1","2331020012","新北市三重區衛生所","新北市三重區新北大道1段1號","02","29848320","4","08","A","","0"
"1","2331030018","新北市永和區衛生所","新北市永和區秀朗路1段137號1、2、3樓","02","32332780","4","08","A","","0"
"1","2331040014","新北市中和區衛生所","新北市中和區南山路4巷3號","02","22491936","4","08","A","","0"
"1","2331050010","新北市新店區衛生所","新北市新店區北新路1段88巷11號","02","29113984","4","07","A","","0"
"1","2331060016","新北市新莊區衛生所","新北市新莊區中華路1段2號1至4樓","02","29967123","4","08","A","","0"
"1","2331070012","新北市樹林區衛生所","新北市樹林區樹新路40－7號1、2樓","02","26812134","4","08","A","","0"
"1","2331080018","新北市鶯歌區衛生所","新北市鶯歌區文化路389號、新北市鶯歌區仁愛路55號4樓","02","26702304","4","08","A","","0"
"1","2331090014","新北市三峽區衛生所","新北市三峽區光明路71號3樓","02","26711592","4","08","A","","0"
"1","2331100015","新北市淡水區衛生所","新北市淡水區中山路158號","02","26215620","4","08","A","","0"
"1","2331110011","新北市汐止區衛生所","新北市汐止區新台五路1段266號地下1樓．地上1至4樓","02","26412030","4","08","A","","0"
"1","2331120017","新北市瑞芳區衛生所","新北市瑞芳區明燈路3段1號","02","24972132","4","08","A","","0"
"1","2331130013","新北市土城區衛生所","新北市土城區和平路26號1、2樓","02","22603181","4","07","A","","0"
"1","2331140019","新北市蘆洲區衛生所","新北市蘆洲區中央路58號","02","22812011","4","08","A","","0"
"1","2331150015","新北市五股區衛生所","新北市五股區新城三路11號1樓、2樓及3樓","02","22917717","4","08","A","","0"
"1","2331160011","新北市泰山區衛生所","新北市泰山區全興路212號3樓","02","22962858","4","08","A","","0"
"1","2331170017","新北市林口區衛生所","新北市林口區忠孝二路55號","02","26068760","4","08","A","","0"
"1","2331180013","新北市深坑區衛生所","新北市深坑區深坑街165號1－3樓","02","26621567","4","08","A","","0"
"1","2331190019","新北市石碇區衛生所","新北市石碇區潭邊里碇坪路1段82號","02","26631325","4","08","A","","0"
"1","2331200010","新北市坪林區衛生所","新北市坪林區坪林街104號","02","26656272","4","08","A","","0"
"1","2331210016","新北市三芝區衛生所","新北市三芝區中山路1段12號","02","26362007","4","08","A","","0"
"1","2331220012","新北市石門區衛生所","新北市石門區中山路28－1號","02","26381007","4","08","A","","0"
"1","2331230018","新北市八里區衛生所","新北市八里區舊城路16號","02","26102137","4","08","A","","0"
"1","2331240014","新北市平溪區衛生所","新北市平溪區公園街17號1樓","02","24951015","4","08","A","","0"
"1","2331250010","新北市雙溪區衛生所","新北市雙溪區新基南路18號","02","24931211","4","08","A","","0"
"1","2331260016","新北市貢寮區衛生所","新北市貢寮區朝陽街70巷10號、新北市貢寮區仁愛路128號","02","24901431","4","08","A","","0"
"1","2331270012","新北市金山區衛生所","新北市金山區中山路257號4樓","02","24984807","4","07","A","","0"
"1","2331280018","新北市萬里區衛生所","新北市萬里區瑪鍊路157號1－3樓及地下1樓","02","24921117","4","07","A","","0"
"1","2331290014","新北市烏來區衛生所","新北市烏來區新烏路5段109號","02","26617200","4","08","A","","0"
"1","2334010018","宜蘭縣宜蘭市衛生所","宜蘭縣宜蘭市健康路二段2－2號1樓","03","9322362","4","08","A","","0"
"1","2334020014","宜蘭縣羅東鎮衛生所","宜蘭縣羅東鎮民生路79號","03","9542321","4","08","A","","0"
"1","2334030010","宜蘭縣蘇澳鎮衛生所","宜蘭縣蘇澳鎮志成路60號","03","9962185","4","08","A","","0"
"1","2334040016","宜蘭縣頭城鎮衛生所","宜蘭縣頭城鎮吉祥路15號","03","9771034","4","08","A","","0"
"1","2334050012","宜蘭縣礁溪鄉衛生所","宜蘭縣礁溪鄉礁溪路4段126號","03","9882908","4","08","A","","0"
"1","2334060018","宜蘭縣壯圍鄉衛生所","宜蘭縣壯圍鄉中央路2段290號","03","9385503","4","08","A","","0"
"1","2334070014","宜蘭縣員山鄉衛生所","宜蘭縣員山鄉復興路2號","03","9221575","4","08","A","","0"
"1","2334081026","宜蘭縣冬山鄉衛生所","宜蘭縣冬山鄉中正路16號","03","9594772","4","08","A","","0"
"1","2334090016","宜蘭縣五結鄉衛生所","宜蘭縣五結鄉五結路2段337號","03","9501564","4","08","A","","0"
"1","2334100017","宜蘭縣三星鄉衛生所","宜蘭縣三星鄉三星路5段70號","03","9892227","4","08","A","","0"
"1","2334110013","宜蘭縣大同鄉衛生所","宜蘭縣大同鄉崙埤村朝陽40號","03","9801175","4","08","A","","0"
"1","2334120019","宜蘭縣南澳鄉衛生所","宜蘭縣南澳鄉蘇花路2段375號","03","9981019","4","08","A","","0"
"1","2390010010","金門縣金城鎮衛生所","金門縣金城鎮民權路147號","082","325059","4","08","A","","0"
"1","2390020016","金門縣金沙鎮衛生所","金門縣金沙鎮三民路16號","082","352854","4","08","A","","0"
"1","2390030030","金門縣金湖鎮衛生所","金門縣金湖鎮正義里成功7號之1","082","336662","4","07","A","","0"
"1","2390040518","金門縣金寧鄉衛生所","金門縣金寧鄉盤山村仁愛新屯2之1號","082","325735","4","08","A","","0"
"1","2390050032","金門縣烈嶼鄉衛生所","金門縣烈嶼鄉西口村西方6－5號","082","362078","4","08","A","","0"
"1","2391020010","連江縣北竿鄉衛生所","連江縣北竿鄉塘岐村25號","083","655592","4","08","A","","0"
"1","2391030016","連江縣莒光鄉西莒衛生所","連江縣莒光鄉青帆村14－1號","083","689122","4","08","A","","0"
"1","2391030026","連江縣莒光鄉東莒衛生所","連江縣莒光鄉大坪村30－1號","083","689038","4","08","A","","0"
"1","2391040012","連江縣東引鄉衛生所","連江縣東引鄉中柳村123號","083","677206","4","08","A","","0"
"1","2401020024","國立台灣大學保健中心","臺北市大安區羅斯福路4段1號","02","33662155","4","07","A","","0"
"1","2501100010","國防部醫務組診所","臺北市中山區北安路409號","02","85099756","4","08","A","","0"
"1","2501100029","國防部醫務組牙醫診所","臺北市中山區北安路409號","02","85099756","4","14","A","","0"
"1","2501180018","國軍台北門診中心附設民眾診療服務處","臺北市中正區紹興南街7號","02","23918235","4","08","A","","0"
"1","2531090518","國家中山科學研究院醫務所附設光武分診所","新北市三峽區中正路3段1號","02","26712711","4","08","A","","0"
"1","2631010021","板橋榮譽國民之家醫務室","新北市板橋區大觀路2段32號（溫馨樓1樓）","02","22755157","4","08","A","","0"
"1","2634010014","臺北榮民總醫院員山分院附設門診部","","","","4","08","A","20180319","2"
"1","2634031022","臺北榮民總醫院蘇澳分院附設門診部","","","","4","08","A","20180322","2"
"1","2634070010","臺北榮民總醫院員山分院附設員山鄉門診部","","","","4","08","A","20180319","2"
"1","2701010024","交通部民用航空局航空醫務中心","臺北市松山區敦化北路405巷123弄10號","02","25456700","4","08","A","","0"
"1","2701170052","臺北市政府醫務室","臺北市信義區市府路1號","02","27205389","4","08","A","","0"
"1","2701171068","臺北市議會醫務室","臺北市信義區仁愛路4段507號","02","27093600","4","08","A","","0"
"1","2731090012","退除役官兵輔導委員會台北榮譽國民之家醫務室","新北市三峽區白雞路129號","02","26731201","4","08","A","","0"
"1","2731220010","台灣電力公司第一核能發電廠員工診所","新北市石門區小坑12號","02","26383501","4","08","A","","0"
"1","2731280016","台灣電力股份有限公司第二核能發電廠員工診所","新北市萬里區野柳里八斗60號","02","24985990","4","07","A","","0"
"1","2734040014","國立陽明大學附設醫院附設大溪門診部","","","","4","08","A","20180321","2"
"1","3401101267","大同股份有限公司附設醫務室","臺北市中山區中山北路3段22號","02","25984405","4","08","A","","0"
"1","3401160014","和碩聯合科技股份有限公司附設醫務室","臺北市北投區立功街76號5樓","02","81439001","4","08","A","","0"
"1","3401171107","聯合報系員工診療所","臺北市信義區忠孝東路4段559巷1號6樓","02","27601618","4","08","A","","0"
"1","3401171161","台灣中油股份有限公司員工診所","","","","4","08","A","20201224","2"
"1","3401171170","台灣中油股份有限公司員工診所","臺北市信義區松仁路3號（實際營業地址：3樓）","02","87259793","4","08","A","","0"
"1","3411010013","台灣國際造船股份有限公司基隆廠診療所","基隆市中正區和一路224號","02","24631021","4","08","A","","0"
"1","3431041096","微星科技股份有限公司附設醫務室","新北市中和區板南路488號6樓","02","32345599","4","08","A","","0"
"1","3431051056","台灣通用器材股份有限公司醫務室","新北市新店區寶橋路233號","02","29113861","4","08","A","","0"
"1","3431051065","台灣艾銳勢股份有限公司附設醫務室","","","","4","08","A","20180712","2"
"1","3501010012","榮恩耳鼻喉科小兒科聯合診所","臺北市松山區南京東路5段258號","02","27688749","4","07","A","","0"
"1","3501010049","蔡恭禮內兒科診所","臺北市松山區新東街28號之2","02","27600208","4","07","A","","0"
"1","3501010058","林聰賢婦產科診所","臺北市松山區八德路4段345號2樓","02","27625290","4","07","A","","0"
"1","3501010094","劉內兒科診所","臺北市松山區民生東路5段148號","02","27603922","4","07","A","","0"
"1","3501010209","趙耳鼻喉科診所","臺北市松山區八德路4段649號1樓","02","27568572","4","07","A","","0"
"1","3501010227","謝耳鼻喉科診所","臺北市松山區民生東路5段148號2樓","02","27697891","4","07","A","","0"
"1","3501010263","康明哲小兒科內科診所","臺北市松山區三民路136巷15號","02","27675941","4","07","A","","0"
"1","3501010272","杏友診所","臺北市松山區八德路3段155巷2號","02","25779195","4","08","A","","0"
"1","3501010307","佳祐內兒科診所","臺北市松山區八德路4段91巷1號","02","27687617","4","07","A","","0"
"1","3501010361","潘安然婦產科診所","","","","4","07","A","20200531","C"
"1","3501010414","松山內兒科診所","臺北市松山區八德路4段255號","02","27658676","4","07","A","","0"
"1","3501010478","王俊彰耳鼻喉科診所","臺北市松山區民生東路5段17號","02","27665698","4","07","A","","0"
"1","3501010530","林志聖眼科診所","臺北市松山區三民路140號","02","27692376","4","07","A","","0"
"1","3501010585","陳泰安耳鼻喉科診所","","","","4","07","A","20200930","2"
